Short name,Opening name,Moves
A00,"Keene Defense, Grob",1.g4 d5 2.h3 e5
A02,Canard Formation; Double Duck,1.f4 f5 2.d4 d5
A10,"Zilbermints Gambit, English",1.c4 g5 2.d4 e5
A10,"Adorjan System, English",1.c4 g6 2.e4 e5
A13,English Defense,1.c4 e6 2.d4 b6
A20,"Drill Variation, English",1.c4 e5 2.g3 h5
A40,English Defense,1.d4 e6 2.c4 b6
A40,Zilbermints Gambit,1.d4 e6 2.c4 e5
A41,Anglo-Slav Opening,1.d4 c6 2.c4 d6
A42,English Rat,1.d4 d6 2.c4 e5
A43,Old Benoni,1.d4 c5 2.d5 d6
A43,"Clarendon Court Variation, Benoni",1.d4 c5 2.d5 f5
A44,"Pawn Thrust, Benoni; A44",1.d4 c5 2.d5 e5
A80,"Hevendehl Gambit, Dutch",1.d4 f5 2.g4 e5
A82,"Balogh Defense, Dutch",1.d4 f5 2.e4 d6
A84,"Classical Variation, Dutch",1.d4 f5 2.c4 e6
B00,"Zilbermints Gambit, St George Defense",1.e4 a6 2.d4 e5
B00,San Jorge Variation,1.e4 a6 2.d4 e6
B00,"Zilbermints Gambit, Borg",1.e4 g5 2.d4 e5
B00,"Zilbermints Gambit, Carr Defense",1.e4 h6 2.d4 e5
B06,"Fianchetto Gambit, Modern Defense",1.e4 g6 2.d4 f5
B07,"Maroczy Defense, Pirc",1.e4 d6 2.d4 e5
B07,Small Center Defense,1.e4 d6 2.d4 e6
B07,"Balogh Defense, Pirc",1.e4 d6 2.d4 f5
B10,"Massachussets Defense, Caro-Kann",1.e4 c6 2.d4 f5
B20,"Queen Fianchetto Variation, Sicilian",1.e4 c5 2.b3 b6
C00,Franco-Sicilian Defense,1.d4 e6 2.c4 c5
C00,"Franco-Hiva Gambit, French",1.e4 e6 2.d3 f5
C01,"Baeuerle Gambit, French",1.e4 e6 2.d4 b5
C01,"Franco-Hiva Gambit I, French",1.e4 e6 2.d4 f5
C20,Lasa Gambit,1.e4 e5 2.c3 f5
C20,Bavarian Gambit,1.e4 e5 2.c4 d5
C20,King's Gambit Reversed,1.e4 e5 2.d3 f5
C21,Beyer Gambit,1.e4 e5 2.d4 d5
C30,"Mafia Defense, KGD",1.e4 e5 2.f4 c5
C30,"Panteldakis Countergambit, KGD",1.e4 e5 2.f4 f5
C30,Zilbermints Double Countergambit; KGD,1.e4 e5 2.f4 g5
C31,"Falkbeer Counter-Gambit, KGD; C31",1.e4 e5 2.f4 d5
D06,"Zilbermints Gambit, QGD",1.d4 d5 2.c4 b5
D06,"Austrian Defense; Summetrical Defense, QGD",1.d4 d5 2.c4 c5
D06,"Alekhine Defense, QGD",1.d4 d5 2.c4 g6
D08,"Albin Countergambit; Cavalotti Var, QGD; D08",1.d4 d5 2.c4 e5
D10,"Slav Defense; Czech Defense, QGD; D10",1.d4 d5 2.c4 c6
D30,D30,1.d4 d5 2.c4 e6
,Unknown,1.e4 c6 2.c4 d5
,Unknown,1.e4 c6 2.d4 d5
,Unknown,1.e4 e6 2.d4 d6
,Unknown,1.e4 e6 2.d4 a6
,Unknown,1.e4 e6 2.d4 d5
A00,Creepy Crawly Formation,1.a3 e5 2.h3 d5
A00,Creepy Crawly Formation,1.a3 e5 2.h3 d5
A20,"Drill Variation, English",1.c4 e5 2.g3 h5
A13,English Defense,1.c4 e6 2.d4 b6
A10,"Zilbermints Gambit, English",1.c4 g5 2.d4 e5
A10,"Adorjan System, English",1.c4 g6 2.e4 e5
A43,Old Benoni,1.d4 c5 2.d5 d6
A44,"Pawn Thrust, Benoni; A44",1.d4 c5 2.d5 e5
A43,"Clarendon Court Variation, Benoni",1.d4 c5 2.d5 f5
A41,Anglo-Slav Opening,1.d4 c6 2.c4 d6
D06,"Zilbermints Gambit, QGD",1.d4 d5 2.c4 b5
D06,"Austrian Defense; Summetrical Defense, QGD",1.d4 d5 2.c4 c5
D10,"Slav Defense; Czech Defense, QGD; D10",1.d4 d5 2.c4 c6
D08,"Albin Countergambit; Cavalotti Var, QGD; D08",1.d4 d5 2.c4 e5
D30,D30,1.d4 d5 2.c4 e6
D06,"Alekhine Defense, QGD",1.d4 d5 2.c4 g6
A42,English Rat,1.d4 d6 2.c4 e5
A40,English Defense,1.d4 e6 2.c4 b6
C00,Franco-Sicilian Defense,1.d4 e6 2.c4 c5
A40,Zilbermints Gambit,1.d4 e6 2.c4 e5
A84,"Classical Variation, Dutch",1.d4 f5 2.c4 e6
A82,"Balogh Defense, Dutch",1.d4 f5 2.e4 d6
A80,"Hevendehl Gambit, Dutch",1.d4 f5 2.g4 e5
B00,"Zilbermints Gambit, St George Defense",1.e4 a6 2.d4 e5
B00,San Jorge Variation,1.e4 a6 2.d4 e6
B20,"Queen Fianchetto Variation, Sicilian",1.e4 c5 2.b3 b6
B10,"Massachussets Defense, Caro-Kann",1.e4 c6 2.d4 f5
B07,"Maroczy Defense, Pirc",1.e4 d6 2.d4 e5
B07,Small Center Defense,1.e4 d6 2.d4 e6
B07,"Balogh Defense, Pirc",1.e4 d6 2.d4 f5
C20,Lasa Gambit,1.e4 e5 2.c3 f5
C20,Bavarian Gambit,1.e4 e5 2.c4 d5
C20,King's Gambit Reversed,1.e4 e5 2.d3 f5
C21,Beyer Gambit,1.e4 e5 2.d4 d5
C30,"Mafia Defense, KGD",1.e4 e5 2.f4 c5
C31,"Falkbeer Counter-Gambit, KGD; C31",1.e4 e5 2.f4 d5
C30,"Panteldakis Countergambit, KGD",1.e4 e5 2.f4 f5
C30,Zilbermints Double Countergambit; KGD,1.e4 e5 2.f4 g5
C00,"Franco-Hiva Gambit, French",1.e4 e6 2.d3 f5
C01,"Baeuerle Gambit, French",1.e4 e6 2.d4 b5
C01,"Franco-Hiva Gambit I, French",1.e4 e6 2.d4 f5
B00,"Zilbermints Gambit, Borg",1.e4 g5 2.d4 e5
B06,"Fianchetto Gambit, Modern Defense",1.e4 g6 2.d4 f5
B00,"Zilbermints Gambit, Carr Defense",1.e4 h6 2.d4 e5
A02,Canard Formation; Double Duck,1.f4 f5 2.d4 d5
A02,"Pawn Thrust Attack, Bird",1.f4 f5 2.d4 d5
A00,"Keene Defense, Grob",1.g4 d5 2.h3 e5
A08,A08,1.Nf3 d5 2.g3 c5
A09,Benoni Reversed; Wing Blumenfeld,1.Nf3 d5 2.c4 d4
A10,"Myers Defense, English",1.c4 g5 2.d4 Bg7
A13,"King's Knight Variation, English",1.c4 e6 2.Nf3 d5
A15,Shirazi Shove,1.c4 Nf6 2.g3 h5
A20,"Nimzovich-Flohr Variation, English",1.c4 e5 2.Nf3 e4
A21,Anglo-Dutch,1.c4 e5 2.Nc3 f5
A40,Kotov-Robatsch Defense,1.d4 g6 2.c4 Bg7
A43,"Snail Variation, Benoni",1.d4 c5 2.d5 Na6
A43,Benoni-Indian Defense,1.d4 c5 2.d5 Nf6
A45,Ueberlinger Gambit,1.d4 Nf6 2.g3 e5
A45,Oshima Defense,1.d4 Nf6 2.g4 e5
A50,Pyrenees Gambit,1.d4 Nf6 2.c4 b5
A50,Queen's Indian Defense; Saemisch-Indian,1.d4 Nf6 2.c4 b6
A50,Medusa Gambit,1.d4 Nf6 2.c4 g5
A51,Budapest Defense; A51,1.d4 Nf6 2.c4 e5
A53,Old Indian Defense; Chigorin Indian Defense; A53,1.d4 Nf6 2.c4 d6
A56,Hromadka Defense; Loose Gambit: A56,1.d4 Nf6 2.c4 c5
A85,"Normal Variation, Dutch",1.d4 f5 2.c4 Nf6
B00,Snagkeouss Defense,1.e4 a5 2.d4 Nc6
B00,"Woodchuck Variation, St George",1.e4 a6 2.d4 Nc6
B00,Guatemalan Defense,1.e4 b6 2.d4 Ba6
B00,Borg Gambit,1.e4 g5 2.d4 Bg7
B00,Picklepuss Defense,1.e4 h5 2.d4 Nf6
B00,"Scandanavian Variation, Nimzovich Defense",1.e4 Nc6 2.d4 d5
B00,"Mikenas Variation, Nimzovich Defense",1.e4 Nc6 2.d4 d6
B00,"Kennedy Variation, Nimzovich",1.e4 Nc6 2.d4 e5
B00,"French Connection, Nimzovich Defense",1.e4 Nc6 2.d4 e6
B00,"Neo-Mongoloid Defense, Nimzovich",1.e4 Nc6 2.d4 f6
B00,"Pirc Connection, Nimzovich Defense",1.e4 Nc6 2.d4 g6
B06,Norwegian Defense,1.e4 g6 2.d4 Nf6
B07,Pirc Defense,1.e4 d6 2.d4 Nf6
B10,"Masi Variation, Caro-Kann",1.e4 c6 2.d4 Nf6
B12,"De Bruycker Defense, Caro",1.e4 c6 2.d4 Na6
B27,"Polish Gambit, Sicilian",1.e4 c5 2.Nf3 b5
B27,"Katalimov Variation, Sicilian",1.e4 c5 2.Nf3 b6
B27,"Jalalabad Variation, Sicilian",1.e4 c5 2.Nf3 e5
B27,"Brussels Gambit, Sicilian",1.e4 c5 2.Nf3 f5
B27,"Hyperaccelerated Dragon, Sicilian",1.e4 c5 2.Nf3 g6
B27,"Buecker Variation, Sicilian",1.e4 c5 2.Nf3 h6
B28,"O'Kelly Variation, Sicilian; B28",1.e4 c5 2.Nf3 a6
B40,"French Variation, Sicilian; B40",1.e4 c5 2.Nf3 e6
B50,"Modern Variation, Sicilian; B50",1.e4 c5 2.Nf3 d6
C01,"Mediterranean Defense, French",1.e4 e6 2.d4 Nf6
C20,Walkerling,1.e4 e5 2.f3 Nf6
C23,"Khan Gambit, Bishop",1.e4 e5 2.Bc4 d5
C23,"King's Gambit Reversed, Bishop",1.e4 e5 2.Bc4 f5
C30,"Classical Defense, KGD",1.e4 e5 2.f4 Bc5
C30,"Queen's Knight Defense, KGD",1.e4 e5 2.f4 Nc6
C30,"Petrov's Defense, KGD",1.e4 e5 2.f4 Nf6
C30,"Norwalde (Norwalder) Variation, KGD",1.e4 e5 2.f4 Qf6
C40,Jalalabad Defense,1.e4 e5 2.Nf3 c5
C40,Gunderam Gambit,1.e4 e5 2.Nf3 c6
C40,Queen's Pawn Counter-Gambit; Elephant Gambit,1.e4 e5 2.Nf3 d5
C40,Latvian; Greco Counter-Gambit,1.e4 e5 2.Nf3 f5
C40,Damiano Defense,1.e4 e5 2.Nf3 f6
C41,Philidor Defense; C41,1.e4 e5 2.Nf3 d6
D00,"Steinitz Countergambit, Queen Pawn Game",1.d4 d5 2.Bf4 c5
D00,"Irish Gambit, QP",1.d4 d5 2.Nc3 c5
D00,"Shaviliuk Gambit, QP",1.d4 d5 2.Nc3 e5
D00,"Dutch System, QP",1.d4 d5 2.Nc3 f5
D00,Shropshire Defense,1.d4 d5 2.Nc3 h5
D02,Queen's Gambit Reversed; Krause Variation,1.d4 d5 2.Nf3 c5
D06,"Brieger Defense; Sahovic Defense, QGD; Baltic Defense",1.d4 d5 2.c4 Bf5
D06,"Marshall Defense; Knight Defense, QGD",1.d4 d5 2.c4 Nf6
D07,"Chigorin Defense, QGD; D07",1.d4 d5 2.c4 Nc6
D70,King's Indian Defense; West Indian Defense; D70,1.d4 Nf6 2.c4 g6
E00,East Indian Defense; E00,1.d4 Nf6 2.c4 e6
,Unknown,1.Nf3 d5 2.g3 g6
,Unknown,1.e4 f6 2.d4 Kf7
,Unknown,1.e4 g6 2.d4 Bg7
,Unknown,1.e4 e5 2.Bc4 c6
A00,"Wolferts Gambit, Polish",1.b4 e5 2.Bb2 c5
A00,"Wolferts Gambit, Polish",1.b4 e5 2.Bb2 c5
A21,Anglo-Dutch,1.c4 e5 2.Nc3 f5
A20,"Nimzovich-Flohr Variation, English",1.c4 e5 2.Nf3 e4
A13,"King's Knight Variation, English",1.c4 e6 2.Nf3 d5
A10,"Myers Defense, English",1.c4 g5 2.d4 Bg7
A15,Shirazi Shove,1.c4 Nf6 2.g3 h5
A43,"Snail Variation, Benoni",1.d4 c5 2.d5 Na6
A43,Benoni-Indian Defense,1.d4 c5 2.d5 Nf6
D00,"Steinitz Countergambit, Queen Pawn Game",1.d4 d5 2.Bf4 c5
D06,"Brieger Defense; Sahovic Defense, QGD; Baltic Defense",1.d4 d5 2.c4 Bf5
D07,"Chigorin Defense, QGD; D07",1.d4 d5 2.c4 Nc6
D06,"Marshall Defense; Knight Defense, QGD",1.d4 d5 2.c4 Nf6
D00,"Irish Gambit, QP",1.d4 d5 2.Nc3 c5
